epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2141,1.46996,2.08158,1.83758,0.80604,0.77175,0.84042,0.33417,1.98166,1.74485,2.80496,0.000552258,0.000552258,0.000552258
2,66.3963,1.49445,1.51613,1.82068,0.63622,0.6809,0.70958,0.27058,2.0137,1.61236,2.79738,0.00109696,0.00109696,0.00109696
3,98.2466,1.53512,1.30566,1.82445,0.77562,0.7022,0.79229,0.32183,1.95908,1.2875,2.57179,0.00163065,0.00163065,0.00163065
4,130.002,1.5293,1.22101,1.81244,0.79225,0.80944,0.90112,0.42117,1.77183,1.12136,2.4293,0.00161749,0.00161749,0.00161749
5,161.621,1.4861,1.11596,1.7784,0.86831,0.84906,0.91414,0.40552,1.85373,0.99626,2.51954,0.00160099,0.00160099,0.00160099
6,193.328,1.47768,1.10419,1.76438,0.86881,0.85343,0.92794,0.45216,1.71861,0.88466,2.33312,0.00158448,0.00158448,0.00158448
7,225.068,1.47674,1.03735,1.76627,0.91834,0.93436,0.96564,0.47488,1.7229,0.7661,2.38018,0.00156798,0.00156798,0.00156798
8,256.986,1.44582,0.98687,1.73501,0.92568,0.91213,0.95358,0.45447,1.81573,0.7334,2.43975,0.00155148,0.00155148,0.00155148
9,288.672,1.4383,0.97422,1.71669,0.9519,0.91927,0.9727,0.5014,1.70128,0.69716,2.33395,0.00153497,0.00153497,0.00153497
10,320.438,1.41443,0.9497,1.70666,0.95085,0.95028,0.97237,0.51383,1.64911,0.71721,2.28123,0.00151847,0.00151847,0.00151847
11,352.154,1.42013,0.93803,1.70227,0.95901,0.94362,0.96745,0.51212,1.66101,0.67359,2.26355,0.00150197,0.00150197,0.00150197
12,383.985,1.40791,0.93026,1.69822,0.89572,0.86031,0.93314,0.4777,1.6618,0.79043,2.27523,0.00148546,0.00148546,0.00148546
13,415.735,1.37665,0.90599,1.68158,0.96778,0.9571,0.9805,0.5213,1.62512,0.62999,2.23297,0.00146896,0.00146896,0.00146896
14,447.452,1.39848,0.89766,1.69493,0.91795,0.94474,0.97542,0.51048,1.66571,0.69068,2.27571,0.00145246,0.00145246,0.00145246
15,479.184,1.40438,0.88476,1.68511,0.96875,0.96856,0.9876,0.51617,1.65498,0.64898,2.22831,0.00143595,0.00143595,0.00143595
16,510.766,1.38013,0.87583,1.6777,0.98106,0.94457,0.98454,0.5158,1.59415,0.65122,2.1752,0.00141945,0.00141945,0.00141945
